x;alpha
0.57925636;0.766132536
0.581213307;0.80869453
0.583170254;0.854560528
0.585127202;0.902829261
0.587084149;0.951497484
0.589041096;0.999534466
0.590998043;1.048202923
0.59295499;1.099758341
0.594911937;1.155191977
0.596868885;1.213812842
0.598825832;1.274812262
0.600782779;1.338568022
0.602739726;1.406220475
0.604696673;1.478272143
0.60665362;1.553876596
0.608610568;1.63161911
0.610567515;1.711029357
0.612524462;1.793203656
0.614481409;1.879768225
0.616438356;1.971237846
0.618395303;2.066533769
0.62035225;2.164127261
0.622309198;2.263299329
0.624266145;2.363852286
0.626223092;2.46500089
0.628180039;2.565629247
0.630136986;2.665753227
0.632093933;2.766861788
0.634050881;2.870350408
0.636007828;2.976707156
0.637964775;3.086164978
0.639921722;3.199012547
0.641878669;3.31467498
0.643835616;3.431539773
0.645792564;3.548966619
0.647749511;3.66878365
0.649706458;3.793410835
0.651663405;3.922677985
0.653620352;4.053473914
0.655577299;4.182567464
0.657534247;4.309083816
0.659491194;4.434101297
0.661448141;4.558658032
0.663405088;4.682999443
0.665362035;4.807498383
0.667318982;4.933033911
0.66927593;5.059716874
0.671232877;5.18597333
0.673189824;5.309932537
0.675146771;5.431426152
0.677103718;5.551417956
0.679060665;5.669350901
0.681017613;5.782528799
0.68297456;5.889168568
0.684931507;5.991138208
0.686888454;6.092022774
0.688845401;6.192080409
0.690802348;6.285990674
0.692759295;6.366380679
0.694716243;6.429658365
0.69667319;6.478516966
0.698630137;6.520705775
0.700587084;6.56350775
0.702544031;6.609758703
0.704500978;6.6558317
0.706457926;6.693864363
0.708414873;6.717796888
0.71037182;6.727347753
0.712328767;6.726141465
0.714285714;6.717565386
0.716242661;6.703180588
0.718199609;6.683384211
0.720156556;6.657892404
0.722113503;6.625878328
0.72407045;6.586323034
0.726027397;6.53809291
0.727984344;6.479937952
0.729941292;6.411348827
0.731898239;6.333500424
0.733855186;6.248455599
0.735812133;6.157096619
0.73776908;6.058335616
0.739726027;5.950543553
0.741682975;5.833499047
0.743639922;5.709244921
0.745596869;5.581785856
0.747553816;5.4556438
0.749510763;5.333193877
0.75146771;5.212543367
0.753424658;5.088608078
0.755381605;4.957306059
0.757338552;4.819297483
0.759295499;4.679673494
0.761252446;4.544004115
0.763209393;4.414137943
0.765166341;4.287414678
0.767123288;4.159861554
0.769080235;4.028666471
0.771037182;3.892223965
0.772994129;3.749625153
0.774951076;3.602053397
0.776908023;3.453892052
0.778864971;3.310623782
0.780821918;3.175501169
0.782778865;3.048656165
0.784735812;2.928377748
0.786692759;2.812063039
0.788649706;2.696765886
0.790606654;2.580573953
0.792563601;2.463861217
0.794520548;2.348647691
0.796477495;2.236743695
0.798434442;2.128838615
0.800391389;2.024999059
0.802348337;1.925220054
0.804305284;1.829268972
0.806262231;1.736460366
0.808219178;1.645894679
0.810176125;1.556786499
0.812133072;1.468619157
0.81409002;1.381535492
0.816046967;1.29706127
0.818003914;1.21813594
0.819960861;1.147435688
0.821917808;1.085137902
0.823874755;1.028676355
0.825831703;0.974677767
0.82778865;0.920531911
0.829745597;0.864821634
0.831702544;0.807694161
0.833659491;0.751517973
0.835616438;0.700143918
0.837573386;0.65621034
0.839530333;0.618847863
0.84148728;0.584408941
0.843444227;0.549512051
0.845401174;0.513261063
0.847358121;0.477147051
0.849315068;0.443545071
0.851272016;0.413953397
0.853228963;0.38787969
0.85518591;0.363336693
0.857142857;0.338706598
0.859099804;0.31407427
0.861056751;0.29069242
0.863013699;0.269546418
0.864970646;0.250758871
0.866927593;0.234025258
0.86888454;0.219036916
0.870841487;0.205435311
0.872798434;0.192727358
0.874755382;0.180439407
0.876712329;0.168320718
0.878669276;0.15641243
0.880626223;0.144965813
0.88258317;0.13423251
0.884540117;0.124260148
0.886497065;0.114960249
0.888454012;0.106427032
0.890410959;0.098991057
0.892367906;0.092752303
0.894324853;0.08707043
0.8962818;0.081086793
0.898238748;0.074414127
0.900195695;0.067349473
0.902152642;0.06050989
0.904109589;0.054365964
0.906066536;0.049118207
0.908023483;0.044863712
0.909980431;0.041664635
0.911937378;0.039411646
0.913894325;0.0377476
0.915851272;0.03619843
0.917808219;0.034370203
0.919765166;0.032064305
0.921722114;0.029309429
0.923679061;0.026340901
0.925636008;0.023513874
0.927592955;0.021161384
0.929549902;0.019461444
0.931506849;0.018361566
0.933463796;0.017579308
0.935420744;0.016711215
0.937377691;0.015440857
0.939334638;0.013716563
0.941291585;0.011755105
0.943248532;0.009884082
0.945205479;0.008364643
0.947162427;0.007296665
0.949119374;0.006614724
0.951076321;0.006161254
0.953033268;0.005799645
0.954990215;0.005478732
0.956947162;0.005201375
0.95890411;0.00495553
0.960861057;0.004706045
0.962818004;0.004433102
0.964774951;0.004154332
0.966731898;0.003914248
0.968688845;0.003746869
0.970645793;0.003640203
0.97260274;0.003545974
0.974559687;0.003424246
0.976516634;0.003268994
0.978473581;0.003104446
0.980430528;0.00297501
0.982387476;0.002922618
0.984344423;0.002945779
0.98630137;0.00298296
0.988258317;0.002958368
0.990215264;0.002846962
0.992172211;0.002675246
0.994129159;0.002455201
0.996086106;0.002148208
0.998043053;0.001719261
1;0.001210029
