study,sref,treatment,mid,hid,ts,tid,uid,investment,ttype,netsales,longs,shorts,numshares,mprice,price
1,(36),m2,63,1,2016nov15 21:54:32.778,53846,790,2,-1,-74.835785,982.25928,-1057.0923,-2.9604108,-.67558193,.32117924
1,(36),m2,63,1,2016nov15 23:33:57.110,53870,843,10,1,-46.509621,1010.5854,-1057.0923,28.326166,.35303047,.38577756
1,(36),m2,63,1,2016nov16 00:03:10.269,53884,842,4,-1,-52.942501,1010.5854,-1063.5251,-6.4328799,-.62180549,.37065101
1,(36),m2,63,1,2016nov16 00:09:18.039,53900,753,8,-1,-65.370995,1010.5854,-1075.9537,-12.428493,-.64368224,.342154
1,(36),m2,63,1,2016nov16 00:18:24.772,53921,840,25,1,-4.9333916,1071.0231,-1075.9537,60.437603,.41364977,.48766902
1,(36),m2,63,1,2016nov16 00:20:06.266,53928,733,10,-1,-23.604521,1071.0231,-1094.6248,-18.671129,-.53558624,.44126117
1,(36),m2,63,1,2016nov16 00:20:15.907,53930,842,6,-1,-34.101013,1071.0231,-1105.1213,-10.496492,-.57161951,.41556412
1,(36),m2,63,1,2016nov16 00:20:16.094,53931,733,2,-1,-37.499168,1071.0231,-1108.5194,-3.3981559,-.5885545,.4073354
1,(36),m2,63,1,2016nov16 00:20:57.793,53935,790,2.5,-1,-41.68187,1071.0231,-1112.7021,-4.1827006,-.59769994,.39727825
1,(36),m2,63,1,2016nov16 00:27:08.839,53950,790,3.73,-1,-47.796516,1071.0231,-1118.8168,-6.1146474,-.61001062,.38273275
1,(36),m2,63,1,2016nov16 00:27:46.466,53952,790,1.17,-1,-49.685154,1071.0231,-1120.7054,-1.8886366,-.6194945,.37828085
1,(36),m2,63,1,2016nov16 00:34:05.421,53957,790,.54000002,-1,-50.552292,1071.0231,-1121.5726,-.86713761,-.62273854,.37624365
1,(36),m2,63,1,2016nov16 00:35:04.576,53960,790,3.8399999,-1,-56.639198,1071.0231,-1127.6595,-6.0869069,-.6308623,.36206976
1,(36),m2,63,1,2016nov16 00:38:57.157,53964,840,-2,-1,-62.263359,1065.3984,-1127.6595,-5.6241598,-.35560867,.34918272
1,(36),m2,63,1,2016nov16 00:42:43.731,53969,840,-3,-1,-71.107033,1056.5544,-1127.6595,-8.8436708,-.33922565,.32936239
1,(36),m2,63,1,2016nov16 00:56:22.326,53996,840,-2,-1,-77.307358,1050.3545,-1127.6595,-6.2003236,-.3225638,.31581461
1,(36),m2,63,1,2016nov16 04:35:19.460,54015,740,10,-1,-91.606247,1050.3545,-1141.9584,-14.298887,-.69935513,.28576088
1,(36),m2,63,1,2016nov16 05:51:19.062,54020,790,-13,1,-72.891624,1050.3545,-1123.2433,18.714621,.69464403,.3254326
1,(36),m2,63,1,2016nov16 07:55:34.815,54023,776,5,-1,-80.217216,1050.3545,-1130.569,-7.325592,-.68253869,.30956107
1,(36),m2,63,1,2016nov16 18:43:34.156,54032,810,4,-1,-85.959969,1050.3545,-1136.3116,-5.7427487,-.69653058,.29742298
1,(36),m2,63,1,2016nov16 22:37:16.778,54036,743,-6,-1,-107.75072,1028.5641,-1136.3116,-21.790751,-.27534619,.25397804
1,(36),m2,63,1,2016nov16 23:10:24.156,54048,790,-9.2799997,1,-95.104126,1028.5641,-1123.6647,12.646588,.73379475,.27867547
1,(36),m2,63,1,2016nov17 03:53:47.810,54062,835,2,-1,-97.866219,1028.5641,-1126.4268,-2.7620924,-.72408873,.27315733
1,(36),m2,63,1,2016nov17 07:18:58.082,54085,796,20,-1,-124.45655,1028.5641,-1153.0171,-26.590332,-.7521531,.22364229
1,(36),m2,63,1,2016nov17 23:08:02.195,54103,790,-2.48,1,-121.25058,1028.5641,-1149.8112,3.2059669,.7735576,.22925797
1,(36),m2,63,1,2016nov17 23:55:04.828,54112,790,-4,1,-116.02924,1028.5641,-1144.5901,5.2213469,.76608586,.23861416
1,(36),m2,63,1,2016nov17 23:55:58.351,54114,790,-3,1,-112.07023,1028.5641,-1140.6311,3.9590094,.75776529,.24588105
1,(36),m2,63,1,2016nov18 06:09:46.210,54132,794,-2,1,-109.40938,1028.5641,-1137.9707,2.6608467,.75164044,.25084817
1,(36),m2,63,1,2016nov18 13:55:23.108,54142,790,-55,1,-26.236122,1028.5641,-1054.7977,83.173256,.66127026,.43478337
1,(36),m2,63,1,2016nov18 13:55:57.725,54145,790,10,-1,-43.300812,1028.5641,-1071.8624,-17.064692,-.58600533,.39340824
1,(36),m2,63,1,2016nov18 13:56:35.555,54148,790,5,-1,-51.414856,1028.5641,-1079.9764,-8.1140461,-.61621541,.3742215
1,(36),m2,63,1,2016nov18 13:58:17.142,54154,790,3.6900001,-1,-57.248158,1028.5641,-1085.8097,-5.833302,-.63257486,.3606644
1,(36),m2,63,1,2016nov18 14:00:18.135,54158,790,2,-1,-60.359005,1028.5641,-1088.9205,-3.1108468,-.64291179,.35352278
